vgchartz_game,twitch_game,similarity_score,match_quality
Need for Speed: ProStreet,Need for Speed,299,Poor
Pro Evolution Soccer 2011,,0,Poor
NBA 2K16,NBA 2K16,175,Poor
ATV Offroad Fury,,0,Poor
Forza Motorsport 5,Forza Motorsport,335,Poor
Batman: Arkham Origins,,0,Poor
Midnight Club: Los Angeles,,0,Poor
Tetris Plus,Tetris,131,Poor
Madden NFL 11,,0,Poor
Theme Hospital,,0,Poor
Zumba Fitness,,0,Poor
Frogger's Adventures: Temple of the Frog,Reventure,153,Poor
Monopoly,Monopoly,171,Poor
Mortal Kombat II (US & Others sales),,0,Poor
Dead Island,,0,Poor
WCW/nWo Revenge,,0,Poor
The Incredibles,,0,Poor
Madden NFL 10,,0,Poor
Madden NFL 08,,0,Poor
Tony Hawk's Underground 2,HAWKED,98,Excellent
Sonic's Ultimate Genesis Collection,SOMA,75,Fair
Destiny 2,Destiny 2,195,Poor
LEGO Indiana Jones: The Original Adventures,L.A. Noire,111,Poor
Lego Marvel Super Heroes,,0,Poor
WWE SmackDown vs Raw 2008,,0,Poor
Dragon Age: Inquisition,Dragon Age: Inquisition,459,Poor
Kinect Sports: Season Two,Sports,123,Poor
Madden NFL 25,Madden NFL 25,279,Poor
Grand Theft Auto,,0,Poor
My Fitness Coach,,0,Poor
Assassin's Creed IV: Black Flag,,0,Poor
Cool Boarders 3,,0,Poor
Need for Speed: High Stakes,Need for Speed,299,Poor
The Sims 3,,0,Poor
LEGO Star Wars: The Complete Saga,LEGO Star Wars: The Complete Saga,671,Poor
James Bond 007: Everything or Nothing,,0,Poor
Dead Island,,0,Poor
Tomb Raider II,Tomb Raider II,279,Poor
LEGO Harry Potter: Years 1-4,,0,Poor
Pro Evolution Soccer 2010,,0,Poor
Need for Speed Underground 2,Need for Speed,299,Poor
FIFA Soccer 09,,0,Poor
Madden NFL 12,,0,Poor
Star Wars Battlefront II (US sales),Star Wars Battlefront II,483,Poor
Borderlands 2,Borderlands 2,275,Poor
No Man's Sky,No Man's Sky,239,Poor
Madden NFL 15,,0,Poor
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,611,Poor
Just Dance Kids,,0,Poor
Cool Boarders 2,,0,Poor
Sonic Advance,Sonic Advance,275,Poor
Call of Duty 3,Call of Duty,259,Poor
Dance Dance Revolution X2,DEVOTION,143,Poor
Teenage Mutant Ninja Turtles II: The Arcade Game,Anthem,82,Fair
Spyro: Season of Ice,,0,Poor
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,715,Poor
FIFA 19,FIFA 19,155,Poor
Battlefield V,Battlefield V,275,Poor
Star Wars: The Force Unleashed,Strafe,98,Excellent
NBA 2K14,,0,Poor
Guitar Hero II,,0,Poor
Madden NFL 19,Madden NFL 19,279,Poor
Rock Band 2,,0,Poor
LEGO Indiana Jones: The Original Adventures,L.A. Noire,111,Poor
Need for Speed: Hot Pursuit,Need for Speed,299,Poor
BioShock 2,BioShock,171,Poor
R.B.I. Baseball,,0,Poor
High School Musical: Makin' the Cut!,Music,103,Poor
FIFA 15,,0,Poor
Skylanders SWAP Force,Ylands,112,Poor
Pro Evolution Soccer 2012,,0,Poor
Star Wars: Knights of the Old Republic,Star Wars: Knights of the Old Republic,775,Poor
Final Fantasy XIII,Final Fantasy XII,379,Poor
Destiny: The Taken King,Destiny,151,Poor
Need for Speed: Payback,Need For Speed: Payback,463,Poor
ATV Offroad Fury 2,,0,Poor
Need for Speed Rivals,Need for Speed,299,Poor
PlayerUnknown's Battlegrounds,PLAYERUNKNOWN'S BATTLEGROUNDS,575,Poor
Spyro Reignited Trilogy,Spyro Reignited Trilogy,479,Poor
Your Shape featuring Jenny McCarthy,Feign,74,Fair
The Sims: House Party,House Party,227,Poor
PlayStation VR Worlds,,0,Poor
Syphon Filter 2,,0,Poor
Battlefield: Hardline,Battlefield Hardline,415,Poor
Call of Duty: Roads to Victory,Call of Duty,259,Poor
SimCity 2000,,0,Poor
NBA 2K12,,0,Poor
Dance Dance Revolution Extreme,DEVOTION,143,Poor
Demon Attack,,0,Poor
Borderlands,Borderlands,231,Poor
Mortal Kombat (2011),Mortal Kombat 11,326,Poor
Tony Hawk's Pro Skater,Tony Hawk's Pro Skater,443,Poor
Need for Speed: Hot Pursuit 2,Need for Speed,299,Poor
PES 2009: Pro Evolution Soccer,,0,Poor
NBA 2K11,,0,Poor
Scooby-Doo! Night of 100 Frights,,0,Poor
Battlefield 4,Battlefield 4,275,Poor
Finding Nemo,,0,Poor
Madden NFL 15,,0,Poor
Grand Theft Auto: Episodes from Liberty City,The Isle,122,Poor
Need for Speed: Most Wanted 5-1-0,Need for Speed,299,Poor
Just Dance 2015,,0,Poor
Tetris Worlds,Tetris,131,Poor
Metal Gear Solid: Peace Walker,Metal Gear Solid: Peace Walker,607,Poor
Rock Band,,0,Poor
Sim Theme Park,Steep,93,Good
Wipeout: The Game,,0,Poor
Portal 2,Portal 2,175,Poor
UFC 2009 Undisputed,Undisputed,203,Poor
Spec Ops: Airborne Commando,Pepsiman,119,Poor
Dance Dance Revolution: Hottest Party,DEVOTION,143,Poor
Rise of the Tomb Raider,Rise of the Tomb Raider,487,Poor
The Sims 2: Pets,,0,Poor
Call of Duty 2,Call of Duty 2,303,Poor
R4: Ridge Racer Type 4,,0,Poor
The Incredibles,,0,Poor
Toy Story 3: The Video Game,,0,Poor
Hitman: Absolution,Hitman: Absolution,355,Poor
Tom Clancy's Splinter Cell: Conviction,Casino,85,Good
Need for Speed: Undercover,Need for Speed,299,Poor
Famista '89 - Kaimaku Han!!,,0,Poor
Dark Souls,Dark Souls,215,Poor
Mortal Kombat vs DC Universe,,0,Poor
The Elder Scrolls Online: Tamriel Unlimited,The Elder Scrolls Online,503,Poor
Need for Speed: ProStreet,Need for Speed,299,Poor
NBA Jam,,0,Poor
SOCOM: U.S. Navy SEALs: Combined Assault,SOMA,70,Fair
Dragon Quest XI: Echoes of an Elusive Age,Dragon Quest XI: Echoes of an Elusive Age,859,Poor
PGR4 - Project Gotham Racing 4,,0,Poor
Need for Speed: ProStreet,Need for Speed,299,Poor
NBA 2K17,NBA 2K17,175,Poor
Dance Central 2,,0,Poor
Carnival Games,Anime,74,Fair
Middle-Earth: Shadow of War,Middle-earth: Shadow of War,546,Poor
Peter Jackson's King Kong: The Official Game of the Movie,Temtem,84,Fair
Madden NFL 25,Madden NFL 25,279,Poor
NBA Live 2004,Live,83,Fair
Skate 3,,0,Poor
Rayman Raving Rabbids: TV Party,Rayman,131,Poor
The Sims 3,,0,Poor
NBA 2K18,NBA 2K18,175,Poor
Rocket League,Rocket League,275,Poor
Just Dance 3,,0,Poor
Need for Speed: The Run,Need for Speed,299,Poor
Call of Duty: Black Ops 3,Call of Duty: Black Ops III,511,Poor
TouchMaster,,0,Poor
Dead Space,Dead Space,215,Poor
Tenchu: Stealth Assassins,Chess,71,Fair
Harry Potter and the Chamber of Secrets,Anthem,111,Poor
Mortal Kombat vs DC Universe,,0,Poor
Harry Potter and the Chamber of Secrets,Anthem,111,Poor
Just Cause 3,Just Cause 3,259,Poor
Dishonored 2,Dishonored 2,255,Poor
E.T.: The Extra Terrestrial,TERA,72,Fair
Resident Evil 6,Resident Evil 6,319,Poor
BioShock Infinite,Bioshock Infinite,355,Poor
Spyro: Enter the Dragonfly,Agony,86,Good
Hot Shots Golf: Open Tee,,0,Poor
Lego Marvel Super Heroes,,0,Poor
Call of Duty: Black Ops 3,Call of Duty: Black Ops III,511,Poor
NBA Street Vol. 2,,0,Poor
Tom Clancy's Rainbow Six: Vegas,Casino,87,Good
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,587,Poor
Star Wars: Dark Forces,Strafe,97,Excellent
Crash Nitro Kart,,0,Poor
Burnout Paradise,,0,Poor
Scooby Doo and the Cyber Chase,,0,Poor
Tom Clancy's Ghost Recon,,0,Poor
Call of Duty: World at War,Call of Duty,259,Poor
Def Jam Vendetta,,0,Poor
Forza Horizon,,0,Poor
Destiny,Destiny,151,Poor
Jet Moto 2,,0,Poor
FIFA Soccer 09,,0,Poor
X-Men Legends,,0,Poor
Virtua Fighter 2,RAGE 2,83,Fair
Mortal Kombat II,,0,Poor
The Sims: Makin' Magic,,0,Poor
The Legend of Zelda: Oracle of Ages,The Legend of Zelda: Oracle of Ages,715,Poor
Guitar Hero: World Tour,,0,Poor
Star Wars Battlefront II (2017),Star Wars Battlefront II,483,Poor
Red Faction,,0,Poor
MX Unleashed,,0,Poor
Lego Marvel Super Heroes,,0,Poor
Madden NFL 18,Madden NFL 18,279,Poor
Need for Speed: Shift,Need for Speed,299,Poor
Star Wars Rogue Leader: Rogue Squadron II,Squad,103,Poor
Tomb Raider (2013),Tomb Raider II,279,Poor
Batman: Arkham Origins,,0,Poor
Toy Story Mania!,SOMA,73,Fair
Madden NFL 09,,0,Poor
Monopoly,Monopoly,171,Poor
Minecraft,Minecraft,191,Poor
Hot Shots Golf 2,,0,Poor
Mortal Kombat: Deception,,0,Poor
Game Party 2,,0,Poor
Medal of Honor: European Assault (All Region sales),Dauntless,97,Excellent
WCW Nitro,,0,Poor
FIFA 2000,FIFA 20,155,Poor
High School Musical: Sing It!,Music,103,Poor
inFAMOUS 2,,0,Poor
SingStar,,0,Poor
The Legend of Dragoon,,0,Poor
Sonic Classic Collection,,0,Poor
The Legend of Zelda: Oracle of Seasons,The Legend of Zelda: Oracle of Seasons,775,Poor
The Evil Within,The Evil Within,319,Poor
Shrek 2,,0,Poor
